Generation,RockUtility,PaperUtility,ScissorsUtility,LizardUtility,SpockUtility,TOTALUTILITY,RockSpecialists,PaperSpecialists,ScissorsSpecialists,LizardSpecialists,SpockSpecialists
61,6012.660967741939,4871.125572207408,7277.674677419352,11286.912320499485,7398.44737941736,36846.82091728554,0,1,7,176,16
62,6102.36564516129,4796.240896108269,7255.425483870971,11502.908210197706,7474.128950238568,37131.0691855768,1,0,8,179,12
63,6198.03322580645,4846.622382868721,7310.120967741936,11221.47368886577,7415.514082597004,36991.764347879885,0,1,8,182,9
64,6169.21016129032,4965.337904074147,7547.948709677423,11344.4545005203,7370.015226813959,37396.96650237615,2,1,13,174,10
65,6171.248548387097,5267.050187438428,7377.258387096772,11294.59019771072,7503.34314733392,37613.49046796694,5,0,9,171,15
66,6254.774354838711,5213.81755266962,7442.448064516129,11630.69174817898,7274.707933115761,37816.439653319205,1,0,5,175,19
67,6357.246451612902,5461.450160081352,7393.275645161289,11317.560874089497,7333.8761560939465,37863.40928703899,1,0,12,180,7
68,6338.472903225807,5496.788639625251,7432.179032258065,11139.17493236212,7322.1060570243,37728.72156449554,3,1,7,176,13
69,6436.724354838711,5660.774936419842,7478.40274193548,11200.523418314258,7325.42145268972,38101.84690419801,3,0,8,176,13
70,6440.522580645167,5735.513714111968,7507.507580645165,11088.306040582724,7339.360251139799,38111.210167124824,2,2,8,172,16
71,6645.020483870966,5958.372685683285,7590.220322580647,10907.969214360044,7045.848865758157,38147.4315722531,4,4,13,165,14
72,6502.95129032258,6203.690870997536,7657.975806451617,10763.609963579602,7207.276831611637,38335.50476296297,2,1,12,169,16
73,6625.422741935479,6059.6071753263195,7688.3885483870945,10670.314099895948,7024.1588753434735,38067.891440888314,2,5,9,173,11
74,6553.300161290321,6116.11428973203,7597.6583870967725,10820.289630593134,7283.4958167550285,38370.858285467286,0,4,12,166,18
75,6478.587580645163,5992.63657345647,7704.392258064517,10585.407367325703,7217.709790777536,37978.73357026939,4,1,15,160,20
76,6281.2237096774215,6100.317277083272,7646.9311290322585,10866.363277835591,7120.515431417733,38015.35082504628,2,3,9,174,12
77,6531.109032258064,5830.228188788394,7609.748709677422,10593.47532778356,7356.337761434412,37920.89901994185,3,2,16,157,22
78,6616.878387096772,6127.072071394323,7642.477096774195,10632.997648283039,7161.047758123036,38180.47296167137,6,2,22,155,15
79,6564.858387096773,6161.591664247484,7761.921451612905,10494.576196670134,7390.46074212252,38373.40844174982,1,1,13,168,17
80,6679.250806451608,6335.414028243728,7603.6170967741955,10557.460000000003,7376.988345618692,38552.73027708822,6,6,11,160,17
81,6712.681290322583,6243.5553196406645,7615.955483870965,10517.174214360046,7328.859603149055,38418.22591134331,6,2,17,157,18
82,6668.799193548384,6526.40462148084,7804.150483870971,10493.00787721124,7093.483914785411,38585.84609089685,7,6,21,154,12
83,6672.578064516126,6438.25924183708,7633.572096774194,10197.85764828304,7367.329547541729,38309.596598952165,4,9,16,150,21
